date,title,link
2022-11-10,Outsiders eliminate fnatic from IEM Rio Major,hltv.org/news/35050/outsiders-eliminate-fnatic-from-iem-rio-major
2022-11-10,Cloud9 vs. NAVI: A reignited rivalry with a Major trophy on the line,hltv.org/news/35049/cloud9-vs-navi-a-reignited-rivalry-with-a-major-trophy-on-the-line
2022-11-10,Sprout replace MOUZ at Elisa Masters Espoo,hltv.org/news/35047/sprout-replace-mouz-at-elisa-masters-espoo
2022-11-10,[VOD] hampus and djL on HLTV Confirmed live from Rio,hltv.org/news/35048/vod-hampus-and-djl-on-hltv-confirmed-live-from-rio
2022-11-10,"magixx: ""Heroic were an inspiration for how to build our game""",hltv.org/news/35043/magixx-heroic-were-an-inspiration-for-how-to-build-our-game
2022-11-09,ECSTATIC bench brzer,hltv.org/news/35038/ecstatic-bench-brzer
2022-11-09,CCT Central Europe studio finals revealed,hltv.org/news/35046/cct-central-europe-studio-finals-revealed
2022-11-09,Heartbreaks from IEM Rio Legends Stage in photos,hltv.org/news/35044/heartbreaks-from-iem-rio-legends-stage-in-photos
2022-11-09,"[VOD] HLTV Confirmed live from Rio: Major talk with hooch, guerri, Apoka",hltv.org/news/35039/vod-hltv-confirmed-live-from-rio-major-talk-with-hooch-guerri-apoka
2022-11-09,BLAST Premier Fall Final schedule announced,hltv.org/news/35045/blast-premier-fall-final-schedule-announced
2022-11-09,IEM Rio Major Champions Stage Fantasy game now open to play,hltv.org/news/35042/iem-rio-major-champions-stage-fantasy-game-now-open-to-play
2022-11-09,IEM Rio Major playoff bracket locked in,hltv.org/news/35040/iem-rio-major-playoff-bracket-locked-in
2022-11-09,"Spirit oust Liquid from IEM Rio Major, claim final playoff spot",hltv.org/news/35041/spirit-oust-liquid-from-iem-rio-major-claim-final-playoff-spot
2022-11-08,"sdy on playoff challenges: ""The scariest one is probably FURIA""",hltv.org/news/35037/sdy-on-playoff-challenges-the-scariest-one-is-probably-furia
2022-11-08,"frozen: ""I can't imagine another Major where I'd rather go far""",hltv.org/news/35035/frozen-i-cant-imagine-another-major-where-id-rather-go-far
2022-11-08,NAVI send BIG packing to clinch penultimate playoff spot at IEM Rio,hltv.org/news/35036/navi-send-big-packing-to-clinch-penultimate-playoff-spot-at-iem-rio
2022-11-08,MOUZ  take down ENCE and advance to IEM Rio playoffs,hltv.org/news/35034/mouz-take-down-ence-and-advance-to-iem-rio-playoffs
2022-11-08,device to skip first tournament with Astralis following return,hltv.org/news/35033/device-to-skip-first-tournament-with-astralis-following-return
2022-11-08,"sjuush: ""It can be pretty random who's going to win the tournament""",hltv.org/news/35032/sjuush-it-can-be-pretty-random-whos-going-to-win-the-tournament
2022-11-08,Eternal Fire begin rebuild with Calyx return,hltv.org/news/35030/eternal-fire-begin-rebuild-with-calyx-return
2022-11-08,Final IEM Rio Major Legends Stage matchups determined,hltv.org/news/35031/final-iem-rio-major-legends-stage-matchups-determined
2022-11-08,Heroic defeat Liquid to secure IEM Rio Major playoff berth,hltv.org/news/35029/heroic-defeat-liquid-to-secure-iem-rio-major-playoff-berth
2022-11-08,Spirit eliminate Sprout from IEM Rio Major,hltv.org/news/35028/spirit-eliminate-sprout-from-iem-rio-major
2022-11-07,Video: ZywOo taps down four ENCE players,hltv.org/news/35027/video-zywoo-taps-down-four-ence-players
2022-11-07,ENCE eliminate Vitality from IEM Rio Major,hltv.org/news/35025/ence-eliminate-vitality-from-iem-rio-major
2022-11-07,fnatic advance to IEM Rio Major playoffs after beating BIG,hltv.org/news/35026/fnatic-advance-to-iem-rio-major-playoffs-after-beating-big
2022-11-07,"B1ad3: ""Even when we lost to Liquid, I knew that we can still win this event""",hltv.org/news/35023/b1ad3-even-when-we-lost-to-liquid-i-knew-that-we-can-still-win-this-event
2022-11-07,"lauNX: ""I'd say we even have more firepower than a lot of tier one teams""",hltv.org/news/35022/launx-id-say-we-even-have-more-firepower-than-a-lot-of-tier-one-teams
2022-11-07,Outsiders move past MOUZ to qualify for IEM Rio Major playoffs,hltv.org/news/35024/outsiders-move-past-mouz-to-qualify-for-iem-rio-major-playoffs
2022-11-07,NAVI knock out Bad News Eagles in IEM Rio's Legends Stage,hltv.org/news/35021/navi-knock-out-bad-news-eagles-in-iem-rios-legends-stage
2022-11-07,CS:GO community reacts to FaZe's elimination from Rio,hltv.org/news/35020/csgo-community-reacts-to-fazes-elimination-from-rio
2022-11-07,Round 4 matchups set in Rio,hltv.org/news/35018/round-4-matchups-set-in-rio
2022-11-07,Sprout eliminate Ninjas in Pyjamas from IEM Rio Major,hltv.org/news/35019/sprout-eliminate-ninjas-in-pyjamas-from-iem-rio-major
2022-11-06,"juanflatroo: ""This is what I call a dream come true!""",hltv.org/news/35016/juanflatroo-this-is-what-i-call-a-dream-come-true
2022-11-06,FURIA set to play in Jeunesse Arena after advancing to IEM Rio Major playoffs,hltv.org/news/35017/furia-set-to-play-in-jeunesse-arena-after-advancing-to-iem-rio-major-playoffs
2022-11-06,"karrigan: ""Responsibility is on me""",hltv.org/news/35015/karrigan-responsibility-is-on-me
2022-11-06,Reigning Major champions FaZe eliminated from IEM Rio by Bad News Eagles,hltv.org/news/35014/reigning-major-champions-faze-eliminated-from-iem-rio-by-bad-news-eagles
2022-11-06,Cloud9 brush aside Heroic to secure first Rio Major playoff spot,hltv.org/news/35013/cloud9-brush-aside-heroic-to-secure-first-rio-major-playoff-spot
2022-11-06,"Qikert: ""Spirit are one of the youngest teams, but it already feels like they're pretty experienced""",hltv.org/news/35012/qikert-spirit-are-one-of-the-youngest-teams-but-it-already-feels-like-theyre-pretty-experienced
2022-11-06,"roeJ: ""We already made our goal, so there's no pressure for us""",hltv.org/news/35011/roej-we-already-made-our-goal-so-theres-no-pressure-for-us
2022-11-06,"Outsiders edge past Spirit in CIS matchup, fnatic defeat ENCE in Rio",hltv.org/news/35010/outsiders-edge-past-spirit-in-cis-matchup-fnatic-defeat-ence-in-rio
2022-11-06,MOUZ and Liquid go 2-1 with close victories; NAVI and Vitality on brink of elimination,hltv.org/news/35009/mouz-and-liquid-go-2-1-with-close-victories-navi-and-vitality-on-brink-of-elimination
2022-11-06,Photos: Legends arrive at the Major,hltv.org/news/35008/photos-legends-arrive-at-the-major
